policy,runs,clear_rate,avg_hp,avg_damage,avg_rounds,avg_level,avg_coins,avg_spoils,band1,band2,band3,band4
safe,1200,0.9725,17.3125,6.865,15.428333333333333,1.9816666666666667,8.9825,5.416610549943884,0.3656565656565657,0.47160493827160493,0.14927048260381592,0.013468013468013467
balanced,1200,0.9208333333333333,15.563333333333333,10.866666666666667,23.4025,2.845833333333333,12.0325,6.64605991223049,0.19156649494371303,0.38485021942377406,0.31329898874260637,0.1102842968899065
greedy,1200,0.5716666666666667,7.485833333333333,17.2375,35.46,2.4616666666666664,13.943333333333333,7.666281977303328,0.17599538372763993,0.30698211194460473,0.3183304481631083,0.19869205616464705
